show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added
s1,movie,Duck the Halls: A Mickey Mouse Christmas Special,"Alonso Ramirez Ramos, Dave Wasson","Chris Diamantopoulos, Tony Anselmo, Tress MacNeille, Bill Farmer, Russi Taylor, Corey Burton",desconocido,2021-11-26,2016,tv-g,23 min,"animation, family",Join Mickey and the gang as they duck the halls!,2021,11
s2,movie,Ernest Saves Christmas,John Cherry,"Jim Varney, Noelle Parker, Douglas Seale",desconocido,2021-11-26,1988,pg,91 min,comedy,Santa Claus passes his magic bag to a new St. Nic.,2021,11
s3,movie,Ice Age: A Mammoth Christmas,Karen Disher,"Raymond Albert Romano, John Leguizamo, Denis Leary, Queen Latifah",united states,2021-11-26,2011,tv-g,23 min,"animation, comedy, family",Sid the Sloth is on Santa's naughty list.,2021,11
s4,movie,The Queen Family Singalong,Hamish Hamilton,"Darren Criss, Adam Lambert, Derek Hough, Alexander Jean, Fall Out Boy, Jimmie Allen",desconocido,2021-11-26,2021,tv-pg,41 min,musical,"This is real life, not just fantasy!",2021,11
s6,movie,Becoming Cousteau,Liz Garbus,"Jacques Yves Cousteau, Vincent Cassel",united states,2021-11-24,2021,pg-13,94 min,"biographical, documentary",An inside look at the legendary life of adventurer Jacques-Yves Cousteau.,2021,11
s7,tv show,Hawkeye,Desconocido,"Jeremy Renner, Hailee Steinfeld, Vera Farmiga, Fra Fee, Tony Dalton, Zahn McClarnon",desconocido,2021-11-24,2021,tv-14,1 Season,"action-adventure, superhero",Clint Barton/Hawkeye must team up with skilled archer Kate Bishop to unravel a criminal conspiracy.,2021,11
s8,tv show,Port Protection Alaska,Desconocido,"Gary Muehlberger, Mary Miller, Curly Leach, Sam Carlson, Stuart Andrews, David Squibb",united states,2021-11-24,2015,tv-14,2 Seasons,"docuseries, reality, survival",Residents of Port Protection must combat volatile conditions to survive and thrive in Alaska.,2021,11
s9,tv show,Secrets of the Zoo: Tampa,Desconocido,"Dr. Ray Ball, Dr. Lauren Smith, Chris Massaro, Tiffany Burns, Mike Burns, Melinda Mendolusky",united states,2021-11-24,2019,tv-pg,2 Seasons,"animals & nature, docuseries, family",A day in the life at ZooTampa is anything but ordinary. It's extraordinary!,2021,11
s10,movie,A Muppets Christmas: Letters To Santa,Kirk R. Thatcher,"Steve Whitmire, Dave Goelz, Bill Barretta, Eric Jacobson",united states,2021-11-19,2008,g,45 min,"comedy, family, musical",Celebrate the holiday season with all your favorite Muppets.,2021,11
s11,movie,Adventure Thru the Walt Disney Archives,John Gleim,"Don Hahn, Kathryn Beaumont, Pete Docter, Kevin Feige, Mark Hamill, Bob Iger",desconocido,2021-11-19,2020,tv-pg,59 min,documentary,Explore the treasures and rich history of the Walt Disney Archives.,2021,11
s12,movie,Puppy for Hanukkah,Desconocido,Desconocido,desconocido,2021-11-19,2020,tv-g,4 min,"comedy, family, music","Check out Daveed Digg's official music video ""Puppy for Hanukkah!""",2021,11
s13,movie,The Pixar Story,Leslie Iwerks,"Stacy Keach, John Lasseter, Brad Bird, John Musker, Ron Clements, Frank Thomas",united states,2021-11-19,2007,g,91 min,"documentary, family",A groundbreaking company forever changes the face of filmmaking.,2021,11
s14,tv show,"Dr. Oakley, Yukon Vet",Desconocido,"Dr. Michelle Oakley, Zachary Fine",united states,2021-11-17,2013,tv-pg,10 Seasons,"action-adventure, animals & nature, docuseries","Meet Dr. Michelle Oakley, vet to pretty much everything that moves in the rugged Yukon.",2021,11
s15,movie,America the Beautiful,Desconocido,Michael B. Jordan,desconocido,2021-11-12,2021,tv-pg,2 min,animals & nature,"Epic, grand portrait of the land across four regions on the most extreme continent. Coming in 2022.",2021,11
s16,movie,Baymax!,Desconocido,Desconocido,desconocido,2021-11-12,2021,tv-g,1 min,animation,“Baymax!” premieres on Disney+ summer 2022.,2021,11
s17,movie,Ciao Alberto,McKenna Harris,"Jack Dylan Grazer, Marco Barricelli",desconocido,2021-11-12,2021,tv-pg,8 min,"animation, comedy, family",Fun-loving sea monster Alberto whole-heartedly wants to prove himself to his stoic mentor Massimo.,2021,11
s18,tv show,Disney Fancy Nancy,Desconocido,"Mia Jenness, Alyson Hannigan, Rob Riggle, Spencer Moss, Dana Heath","united states, canada",2021-11-12,2018,tv-pg,3 Seasons,"animation, kids",Nancy makes every day extraordinary!,2021,11
s19,tv show,Disney Intertwined,Desconocido,"Carolina Domenech, José Jiménez Zapiola, Kevsho, Elena Roger, Clara Alonso, Emilia Mernes",desconocido,2021-11-12,2021,tv-pg,1 Season,"comedy, coming of age, drama",Allegra is ready to change the past in order to reach her dream.,2021,11
s20,movie,Enchanted,Kevin Lima,"Amy Adams, Patrick Dempsey, James Marsden, Timothy Spall, Idina Menzel, Susan Sarandon",united states,2021-11-12,2007,pg,110 min,"comedy, family, fantasy",An animated princess winds up in the real world of modern-day Manhattan.,2021,11
s21,movie,Feast,Patrick Osborne,"Stephen Apostolina, Kirk Baily, Ben Bledsoe, David Cowgill, Terri Douglas, Fuschia!",united states,2021-11-12,2014,g,8 min,"animation, comedy, drama",One man's love life seen through the eyes of his dog.,2021,11
